r_center,r_halfwidth,k_sq,i,j,a_lo,b_lo,primes,dsu_groups,port_groups,ports_I,ports_O,ports_L,ports_R,sum_n,max_label,overflow_128,overflow_256
60000000,4096,40,162409,168975,41576704,43257600,2629,46,22,21,14,10,12,57,22,0,0
60000000,4096,40,56674,227423,14508544,58220288,2590,63,30,15,16,12,16,59,30,0,0
60000000,4096,40,20773,233463,5317888,59766528,2583,46,19,12,15,10,12,49,19,0,0
60000000,4096,40,120460,201049,30837760,51468544,2563,49,24,12,11,9,19,51,24,0,0
60000000,4096,40,154001,176686,39424256,45231616,2473,77,30,18,15,14,11,58,30,0,0
60000000,4096,40,141145,187108,36133120,47899648,2556,60,33,18,18,13,15,64,33,0,0
60000000,4096,40,71286,223263,18249216,57155328,2649,32,17,16,7,12,14,49,17,0,0
60000000,4096,40,127172,196855,32556032,50394880,2557,52,24,16,17,11,10,54,24,0,0
60000000,4096,40,46336,229743,11862016,58814208,2555,59,19,13,14,13,12,52,19,0,0
60000000,4096,40,159958,171288,40949248,43849728,2553,53,27,12,20,15,15,62,27,0,0
60000000,4096,40,163006,168402,41729536,43110912,2614,45,24,12,15,15,12,54,24,0,0
60000000,4096,40,37308,231387,9550848,59235072,2517,62,28,14,11,15,17,57,28,0,0
60000000,4096,40,120685,200932,30895360,51438592,2521,51,21,12,12,12,17,53,21,0,0
60000000,4096,40,104331,209871,26708736,53726976,2596,35,20,14,15,17,12,58,20,0,0
60000000,4096,40,146694,182771,37553664,46789376,2526,52,20,14,13,17,16,60,20,0,0
60000000,4096,40,39127,231083,10016512,59157248,2622,44,21,12,8,17,12,49,21,0,0
60000000,4096,40,24392,233097,6244352,59672832,2598,41,22,18,8,11,11,48,22,0,0
60000000,4096,40,75459,221908,19317504,56808448,2568,57,24,19,13,10,15,57,24,0,0
60000000,4096,40,155582,175277,39828992,44870912,2516,54,33,23,17,15,7,62,33,0,0
60000000,4096,40,15575,233866,3987200,59869696,2538,46,28,15,16,17,14,62,28,0,0
60000000,4096,40,27573,232750,7058688,59584000,2598,41,24,14,18,14,17,63,24,0,0
60000000,4096,40,71710,223131,18357760,57121536,2503,48,17,11,10,15,11,47,17,0,0
60000000,4096,40,81703,219672,20915968,56236032,2577,48,25,13,15,15,14,57,25,0,0
60000000,4096,40,80168,220242,20523008,56381952,2535,49,20,12,14,13,19,58,20,0,0
60000000,4096,40,71274,223283,18246144,57160448,2503,46,22,12,15,9,14,50,22,0,0
60000000,4096,40,3149,234344,806144,59992064,2585,56,22,14,12,10,11,47,22,0,0
60000000,4096,40,160296,170988,41035776,43772928,2575,45,23,17,16,14,15,62,23,0,0
60000000,4096,40,12242,234050,3133952,59916800,2584,54,27,14,16,17,11,58,27,0,0
60000000,4096,40,122554,199791,31373824,51146496,2633,40,15,12,14,13,10,49,15,0,0
60000000,4096,40,131998,193664,33791488,49577984,2576,49,21,11,14,15,11,51,21,0,0
60000000,4096,40,30975,232330,7929600,59476480,2614,52,25,10,24,20,10,64,25,0,0
60000000,4096,40,138956,188740,35572736,48317440,2533,45,21,14,13,12,15,54,21,0,0
60000000,4096,40,136320,190636,34897920,48802816,2590,48,22,16,15,17,11,59,22,0,0
60000000,4096,40,4648,234324,1189888,59986944,2599,46,24,16,17,13,19,65,24,0,0
60000000,4096,40,106917,208576,27370752,53395456,2542,47,24,11,13,17,17,58,24,0,0
60000000,4096,40,81182,219853,20782592,56282368,2517,56,35,20,16,12,17,65,35,0,0
60000000,4096,40,133653,192519,34215168,49284864,2592,49,19,12,11,9,15,47,19,0,0
60000000,4096,40,27081,232817,6932736,59601152,2583,45,21,15,17,13,11,56,21,0,0
60000000,4096,40,47175,229582,12076800,58772992,2526,36,16,15,8,12,16,51,16,0,0
60000000,4096,40,95424,214067,24428544,54801152,2571,47,21,10,13,13,13,49,21,0,0
